1862,876,1881,906,8,1871,891
30,634,91,669,1,61,651
852,554,876,593,1,864,574
470,548,514,590,1,492,569
693,524,741,549,8,717,536
1110,470,1151,523,8,1130,496
1190,466,1227,516,8,1208,491
1324,462,1377,525,8,1350,493
889,460,934,515,8,911,487
1281,457,1315,523,1,1298,490
727,457,763,493,8,744,475
1576,455,1590,494,8,1583,474
630,451,677,473,8,653,462
1229,450,1284,483,8,1256,467
1679,400,1750,443,1,1714,421
1484,399,1543,464,8,1513,431
1070,395,1080,420,1,1075,407
1646,340,1680,398,1,1663,369
