1204,764,1305,830,8,1254,797
111,349,153,382,8,132,365
249,874,279,903,8,264,889
217,1028,271,1049,8,244,1038
120,1019,210,1065,8,165,1041
872,41,900,83,8,886,62
1089,226,1134,251,8,1111,238
1230,1054,1299,1083,8,1264,1069
1434,969,1469,1004,8,1451,986
1704,936,1746,973,8,1725,954
1419,476,1546,615,1,1493,550
334,364,450,505,8,370,480
196,455,317,572,8,261,500
1800,518,1914,626,1,1854,592
1072,499,1143,602,1,1096,551
793,500,916,639,8,851,613
272,118,313,169,8,293,143
1310,523,1329,549,8,1319,536
