991,864,1337,1088,1,1136,1043
1633,791,1920,1088,1,1723,987
1795,772,1897,900,1,1820,832
734,754,904,985,1,814,862
1444,727,1612,883,1,1544,839
1011,685,1283,860,1,1100,803
1566,664,1745,849,1,1610,782
246,517,563,837,1,442,706
972,348,1176,661,1,1037,534
1411,324,1786,602,1,1575,524
1648,234,1694,267,8,1671,251
787,204,854,301,1,809,300
1226,171,1397,335,1,1276,303
232,104,270,167,8,266,165
424,99,667,343,1,543,286
924,92,1164,344,1,989,284
1399,84,1729,372,1,1510,293
1698,74,1920,349,1,1746,289
77,67,346,354,1,263,265
295,52,459,234,1,402,211
1208,16,1291,78,8,1254,66
1420,0,1612,140,1,1449,44
866,0,1084,146,1,952,31
434,0,496,24,1,468,4
