1344,598,1368,619,8,1356,608
910,533,931,556,8,921,544
884,481,907,509,8,895,495
873,431,1033,534,1,953,483
480,424,537,480,8,509,452
1043,400,1071,413,8,1057,407
628,400,665,436,8,646,418
1629,397,1658,415,8,1643,406
566,397,600,456,8,583,426
418,371,449,416,8,434,394
1227,360,1331,446,8,1279,403
0,358,68,438,8,34,398
1317,352,1398,469,8,1358,411
1392,319,1421,338,8,1407,328
1659,310,1812,472,8,1735,391
477,384,501,415,8,489,399
765,126,790,149,8,778,137
1411,368,1531,504,8,1454,445
