1311,1049,1361,1088,1,1336,1068
218,1034,237,1047,8,227,1041
0,1026,43,1079,1,22,1053
1515,1001,1542,1013,8,1528,1007
144,994,167,1006,8,155,1000
1601,980,1618,1013,8,1609,996
1723,974,1779,983,8,1751,978
291,962,343,968,8,317,964
144,955,178,989,8,161,972
1446,949,1493,966,8,1469,957
1701,885,1727,897,8,1714,891
1,884,31,909,8,16,896
1369,848,1406,885,8,1387,867
889,843,927,868,8,908,855
114,839,179,874,8,146,856
38,833,68,855,8,53,844
450,828,497,855,1,473,842
1314,785,1391,804,8,1352,794
234,784,262,797,8,248,790
1179,782,1247,792,8,1213,787
1328,774,1358,787,8,1343,781
208,742,227,762,8,217,752
1520,741,1555,769,1,1537,755
1791,734,1814,748,8,1802,741
1435,689,1459,737,1,1447,713
912,654,941,671,8,926,662
1150,581,1182,622,1,1166,602
732,581,747,609,8,739,595
1707,569,1752,632,8,1729,600
597,568,628,597,1,612,582
1180,546,1201,565,8,1190,555
1774,537,1819,554,8,1797,546
874,455,910,527,1,892,491
642,329,690,352,1,666,340
192,209,218,234,8,205,221
245,160,267,174,8,256,167
224,110,246,129,8,235,120
255,104,275,126,8,265,115
1743,89,1769,111,8,1756,100
1692,62,1723,110,8,1708,86
