283,30,604,393,8,579,260
536,0,888,356,8,695,159
623,774,935,1075,8,794,915
1012,544,1238,794,8,1129,668
1132,406,1378,656,8,1277,545
1402,654,1533,750,8,1464,708
1614,649,1692,695,8,1656,676
1533,399,1634,574,1,1569,485
1649,325,1774,425,8,1720,376
1359,0,1411,16,8,1385,8
226,1044,337,1088,8,281,1066
1307,604,1414,785,8,1322,708
1073,681,1324,940,8,1222,799
988,995,1069,1088,8,1027,1079
1131,1035,1185,1088,8,1172,1088
1378,888,1697,1088,8,1550,1018
1658,1015,1749,1088,8,1704,1051
1869,964,1920,1048,8,1895,1006
316,993,436,1088,8,391,1040
663,371,922,668,1,823,545
538,450,636,661,1,570,583
