298,1044,352,1083,1,325,1063
1253,996,1273,1010,8,1263,1003
1714,940,1738,957,8,1725,948
1478,915,1514,982,8,1496,949
869,806,893,832,8,880,819
1450,797,1487,936,8,1469,866
1099,790,1153,824,1,1126,806
115,759,174,792,1,144,775
739,674,756,690,8,748,682
1561,670,1584,683,8,1573,676
1205,617,1220,645,8,1213,631
1174,617,1184,651,8,1179,634
275,599,302,622,8,289,611
1380,597,1398,615,8,1389,606
287,581,306,596,8,297,588
1520,578,1543,590,8,1531,584
124,550,139,568,8,131,559
895,530,951,579,1,923,554
1896,509,1920,550,1,1908,529
1400,491,1417,509,8,1408,500
18,486,46,502,8,32,494
84,460,113,490,8,98,475
0,453,12,502,8,6,478
2,416,41,439,8,21,427
177,353,295,456,8,236,405
698,319,738,360,1,718,340
1633,211,1680,280,1,1656,246
115,200,146,232,1,131,216
470,58,518,111,1,494,84
1090,19,1132,139,8,1111,79
