831,613,852,649,8,841,631
681,586,709,632,8,695,609
830,564,877,607,8,853,586
1507,520,1542,563,8,1525,542
888,505,903,526,8,896,515
1727,489,1748,535,8,1738,512
1685,486,1700,515,8,1692,500
936,470,961,488,8,949,479
825,466,874,513,8,850,490
675,449,732,518,8,703,483
1060,437,1093,480,8,1076,459
858,436,1040,556,1,926,494
286,429,331,465,8,309,447
587,429,637,501,8,612,465
947,424,985,464,8,966,444
1250,422,1277,445,8,1263,433
872,415,900,442,8,886,428
758,407,830,520,8,794,464
446,407,480,433,8,463,420
690,439,705,460,8,697,450
