896,1053,925,1067,1,910,1060
1337,991,1365,1088,8,1351,1040
793,962,897,1042,8,809,1031
544,927,708,1054,8,564,940
289,886,328,924,8,308,905
1291,863,1323,928,8,1307,895
1682,832,1713,866,1,1697,849
316,832,440,994,8,434,900
1860,791,1895,822,1,1877,806
1589,680,1604,701,8,1596,690
759,671,781,704,1,770,687
651,635,673,662,1,662,649
469,533,569,705,8,557,620
0,509,14,544,8,7,527
1538,500,1560,530,1,1549,515
802,467,865,556,8,833,512
691,389,818,470,8,754,429
745,363,989,670,8,887,481
823,356,858,405,8,840,380
1080,336,1237,578,8,1232,560
624,308,658,337,1,641,322
389,275,405,294,8,397,284
1219,267,1268,286,1,1243,276
0,220,42,236,1,21,228
1331,136,1340,166,8,1335,151
1659,117,1679,143,8,1669,130
265,50,294,87,1,279,68
592,39,659,71,8,626,55
1424,0,1614,254,8,1535,65
1478,0,1562,40,8,1520,20
